Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2023-08-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Colombia,N/A,1.11E+08,315137,Volume in cubic metres
2024-04-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,92702642,139933,Volume in cubic metres
2024-06-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United Arab Emirates,N/A,27,0,Volume in cubic metres
2024-08-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,1.10E+08,158291,Volume in cubic metres
2024-08-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Spain,N/A,2,0,Volume in cubic metres
2024-09-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,78706338,122371,Volume in cubic metres
2024-10-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,71780019,103297,Volume in cubic metres
2025-02-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,74549451,108680,Volume in cubic metres
2025-03-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,64591232,98740,Volume in cubic metres
2025-06-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Ohio,1,0,Volume in cubic metres
2026-06-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Colorado,1,0,Volume in cubic metres
2026-03-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,94241876,109223,Volume in cubic metres
2021-07-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,57325504,104522,Volume in cubic metres
2021-09-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,59046188,109087,Volume in cubic metres
2022-06-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Colombia,N/A,81025437,82545,Volume in cubic metres
2022-08-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Colombia,N/A,53129656,63780,Volume in cubic metres
2023-07-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Indiana,8008,18,Volume in cubic metres
2023-12-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Ohio,12007,33,Volume in cubic metres
2024-02-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,75592892,126095,Volume in cubic metres
2024-05-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,1.14E+08,164097,Volume in cubic metres
2025-03-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,2163,5,Volume in cubic metres
2025-12-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Florida,3509,21,Volume in cubic metres
2026-02-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Germany,N/A,2,0,Volume in cubic metres
